"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.codeProduit.extension","fr-lm-produit-sante.medicament.codeProduit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.codeProduit.coding","fr-lm-produit-sante.medicament.codeProduit.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.codeProduit.text","fr-lm-produit-sante.medicament.codeProduit.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.codeProduit.autreCodification","fr-lm-produit-sante.medicament.codeProduit.autreCodification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Produit de santé / Autre codification","Produit de santé / Autre codification","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.codeProduit.autreCodification",0,*,"",""
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.nomProduit","fr-lm-produit-sante.medicament.nomProduit","","","",1,1,"","","","Identifier {[]} {[]}
","Nom du produit (contenant aussi le dosage et la forme galénique)","Nom du produit (contenant aussi le dosage et la forme galénique)","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.nomProduit",1,1,"",""
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.formeGalenique","fr-lm-produit-sante.medicament.formeGalenique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Forme galénique du produit de santé","Forme galénique du produit de santé","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.formeGalenique",0,1,"",""
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.numeroLot","fr-lm-produit-sante.medicament.numeroLot","","","",0,1,"","","","string {[]} {[]}
","Numéro de lot ","Numéro de lot","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.numeroLot",0,1,"",""
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.dateExpiration","fr-lm-produit-sante.medicament.dateExpiration","","","",0,1,"","","","dateTime {[]} {[]}
","Date d'expiration du produit","Date d'expiration du produit","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.dateExpiration",0,1,"",""
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.conditionnement","fr-lm-produit-sante.medicament.conditionnement","","","",0,1,"","","","Base {[]} {[]}
","Conditionnement","Conditionnement","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.conditionnement",0,1,"",""
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.equivalentGenerique","fr-lm-produit-sante.medicament.equivalentGenerique","","","",0,*,"","","","Base {[]} {[]}
","Code de regroupement ATC","Code de regroupement ATC","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.equivalentGenerique",0,*,"",""
"fr-lm-produit-sante","fr-lm-produit-sante.medicament.substanceActive","fr-lm-produit-sante.medicament.substanceActive","","","",0,*,"","","","Base {[]} {[]}
","Substance active","Substance active","","","","","","","","","",,,,,"",,,,"fr-lm-produit-sante.medicament.substanceActive",0,*,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition","fr-lm-quantite-exposition","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Quantité exposition","Entrée Quantité exposition","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.identifiant","fr-lm-quantite-exposition.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.identifiant",1,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.code","fr-lm-quantite-exposition.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.code",1,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.description","fr-lm-quantite-exposition.description","","","",0,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.description",0,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.statut","fr-lm-quantite-exposition.statut","","","",1,1,"","","","code {[]} {[]}
","status de l'observation","status de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.statut",1,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.date","fr-lm-quantite-exposition.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.date",0,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.valeur","fr-lm-quantite-exposition.valeur","","","",1,1,"","","","Quantity {[]} {[]}
","Quantité mesurée","Quantité mesurée","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.valeur",1,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite","fr-lm-quantite-exposition.lateralite","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Latéralité et topographie","Latéralité et topographie","","","","","","","","","",,"","jdv-localisation-anatomique-cisis (1.2.250.1.213.1.1.5.694)","","",,,,"fr-lm-quantite-exposition.lateralite",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.id","fr-lm-quantite-exposition.lateralite.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.extension","fr-lm-quantite-exposition.lateralite.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.coding","fr-lm-quantite-exposition.lateralite.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.text","fr-lm-quantite-exposition.lateralite.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.topographique","fr-lm-quantite-exposition.lateralite.topographique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Précision topographique","Précision topographique","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.lateralite.topographique",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.topographique.id","fr-lm-quantite-exposition.lateralite.topographique.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.topographique.extension","fr-lm-quantite-exposition.lateralite.topographique.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.topographique.coding","fr-lm-quantite-exposition.lateralite.topographique.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.topographique.text","fr-lm-quantite-exposition.lateralite.topographique.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.topographique.nom","fr-lm-quantite-exposition.lateralite.topographique.nom","","","",1,1,"","","","CodeableConcept {[]} {[]}
","name","name","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-exposition.lateralite.topographique.nom",1,1,"",""
"fr-lm-quantite-exposition","fr-lm-quantite-exposition.lateralite.topographique.valeur","fr-lm-quantite-exposition.lateralite.topographique.valeur","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Valeur de la topographie","Valeur de la topographie","","","","","","","","","",,"","jdv-modificateur-topographique-cisis (1.2.250.1.213.1.1.5.688)","","",,,,"fr-lm-quantite-exposition.lateralite.topographique.valeur",1,1,"",""
"fr-lm-quantite-produit","fr-lm-quantite-produit","fr-lm-quantite-produit","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Quantité de produit","Entrée Quantité de produit","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
